# E_g [GeV]  |  sigma_tot [mub]
#
#
#schumann data
Particle pi0
0.140   0.0	
0.145   0.25	
0.150   0.39	
0.155   1.02	
0.160   1.81	
0.165   2.17	
0.170   4.17	
0.175   4.4	
0.180   6.18	
0.185   8.15	
0.190   10.7	
0.195   13.0	
0.200   16.81	
0.205   21.34	
0.210   29.89	
0.215   34.35	
0.220   42.85	
0.225   47.75	
0.230   55.2	
0.235   64.49	
0.240   73.75	
0.245   84.07	
0.250   94.93	
0.255   109.46	
0.260   122.72	
0.265   138.81	
0.270   155.36	
0.275   174.23	
0.280   188.78	
0.285   207.17	
0.290   225.58	
0.295   241.88	
0.300   258.18	
0.305   269.97	
0.310   280.21	
0.315   293.54	
0.320   291.77	
0.325   288.4	
0.330   284.25	
0.335   276.89	
0.340   257.51	
0.345   261.11	
0.350   250.77	
0.355   243.27	
0.360   228.67	
0.365   220.23	
0.370   205.37	
0.375   193.4	
0.380   184.77	
0.385   175.17	
0.390   165.1	
0.395   156.66	
0.400   149.17	
0.405   137.98	
0.410   127.1	
0.415   121.62	
0.420   116.99	
0.425   108.21	
0.430   102.28	
0.435   99.2	
0.440   92.36	
0.445   83.74	
0.450   79.8	
0.455   76.02	
0.460   71.72	
0.465   69.11	
0.470   65.95	
0.475   62.92	
0.480   60.25	
0.485   57.48	
0.490   54.34	
0.495   52.26	
0.500   49.47	
0.505   47.85	
0.510   46.13	
0.515   43.34	
0.520   41.8	
0.525   39.9	
0.530   39.48	
0.540   36.04	
0.545   36.21	
0.550   34.06	
0.555   32.95	
0.560   31.5	
0.565   31.12	
0.570   31.28	
0.575   29.49	
0.580   28.91	
0.585   29.23	
0.590   27.95	
0.595   27.47	
0.600   26.73	
0.605   26.35	
0.610   25.68	
0.615   26.16	
0.620   25.78	
0.625   25.65	
0.630   25.58	
0.635   25.19	
0.640   24.62	
0.645   25.68	
0.650   24.97	
0.655   25.74	
0.660   25.34	
0.665   26.07	
0.670   26.19	
0.675   26.65	
0.680   27.85	
0.685   28.42	
0.690   28.92	
0.695   30.07	
0.700   31.73	
0.705   33.5	
0.710   36.23	
0.715   37.07	
0.720   37.73	
0.725   37.58	
0.730   40.43	
0.735   39.64	
0.740   39.6	
0.745   40.7	
0.750   40.1	
0.755   41.71	
0.760   41.35	
0.765   40.55	
0.770   39.42	
